userId,orderDate,total,receiptCode,id
"1","Tue Mar 11 2025 05:17:40 GMT+0000 (Coordinated Universal Time)","50","QR2606069e85","1"
"3","Tue Mar 11 2025 05:18:53 GMT+0000 (Coordinated Universal Time)","30","QR333006b2a0","2"
